TRP,LON,LAT,GS,TA
18628.1562,89.51262116,46.80471361,8.1387,28.125
18628.6641,89.51264262,46.80474043,9.3595,28.125
18629.0703,89.51265335,46.80475652,9.3595,28.125
18629.6562,89.51268017,46.80477262,10.1733,28.125
18630.2422,89.51270163,46.8048048,10.1733,30.9375
18631.2891,89.51274991,46.80484772,10.9872,30.9375
18631.8594,89.51275527,46.80486918,10.9872,28.125
18632.4141,89.5127821,46.80490136,12.208,28.125
18633.9609,89.51283574,46.8049711,13.0219,28.125
18634.9219,89.51288402,46.80501938,13.0219,30.9375
18636.0312,89.51292157,46.80506766,6.5109,30.9375
18636.79685,89.51295376,46.805105205,6.5109,30.9375
18640.3516,89.51307178,46.80525005,10.1733,28.125
18640.8828,89.51308787,46.80527151,10.1733,28.125
18641.3594,89.51310933,46.80529833,9.3595,28.125
18642.75,89.51315761,46.80534661,9.3595,28.125
18646.375,89.51327026,46.80549145,10.9872,28.125
18647.3594,89.51330781,46.80553436,10.9872,28.125
18649.9062,89.51338828,46.80563629,10.9872,28.125
18651.0156,89.51342583,46.80568457,10.1733,28.125
18652.0859,89.51345801,46.80571675,9.3595,30.9375
18653.0156,89.5134902,46.8057543,9.3595,28.125
18654.9141,89.51354384,46.80582404,9.3595,28.125
